fips,county_name,population,median_income,poverty_count,poverty_universe,poverty_rate
01001,"Autauga County, Alabama",59285,69841,6275,58731,10.68
01003,"Baldwin County, Alabama",239945,75019,24819,236041,10.51
01005,"Barbour County, Alabama",24757,44290,4746,21650,21.92
01007,"Bibb County, Alabama",22152,51215,4258,20759,20.51
01009,"Blount County, Alabama",59292,61096,8269,58665,14.1
01011,"Bullock County, Alabama",10157,36723,2344,9138,25.65
01013,"Butler County, Alabama",18807,44881,3881,18467,21.02
01015,"Calhoun County, Alabama",116141,55826,19558,112002,17.46
01017,"Chambers County, Alabama",34450,49295,5214,33682,15.48
01019,"Cherokee County, Alabama",25224,50769,3606,24829,14.52
01021,"Chilton County, Alabama",45500,61873,6111,44885,13.61
01023,"Choctaw County, Alabama",12525,44483,2413,12355,19.53
01025,"Clarke County, Alabama",22802,49167,4607,22426,20.54
01027,"Clay County, Alabama",14188,51852,2295,13870,16.55
01029,"Cleburne County, Alabama",15254,53319,1984,15082,13.15
01031,"Coffee County, Alabama",54231,64672,9409,53403,17.62
01033,"Colbert County, Alabama",57648,56736,9626,57038,16.88
01035,"Conecuh County, Alabama",11411,42266,3125,11308,27.64
01037,"Coosa County, Alabama",10323,57063,1161,9986,11.63
01039,"Covington County, Alabama",37647,50886,6681,37028,18.04
01041,"Crenshaw County, Alabama",13144,49040,2081,12853,16.19
01043,"Cullman County, Alabama",89463,60916,12299,88470,13.9
01045,"Dale County, Alabama",49516,53955,9078,48517,18.71
01047,"Dallas County, Alabama",37536,36810,10748,37061,29.0
01049,"DeKalb County, Alabama",71946,51149,14405,70752,20.36
01051,"Elmore County, Alabama",88669,75553,8652,84122,10.29
01053,"Escambia County, Alabama",36695,44447,7238,34135,21.2
01055,"Etowah County, Alabama",103208,53070,17401,101762,17.1
01057,"Fayette County, Alabama",16173,50733,2967,15899,18.66
01059,"Franklin County, Alabama",31978,51493,5476,31517,17.37
01061,"Geneva County, Alabama",26726,50951,5035,26426,19.05
01063,"Greene County, Alabama",7589,31495,2697,7510,35.91
01065,"Hale County, Alabama",14749,41325,3454,14456,23.89
01067,"Henry County, Alabama",17450,60135,2695,17063,15.79
01069,"Houston County, Alabama",107628,57531,19198,106448,18.04
01071,"Jackson County, Alabama",52839,49454,8758,52233,16.77
01073,"Jefferson County, Alabama",669744,64589,106524,652226,16.33
01075,"Lamar County, Alabama",13809,47447,2061,13685,15.06
01077,"Lauderdale County, Alabama",95037,59082,12584,92258,13.64
01079,"Lawrence County, Alabama",33182,60040,4506,32794,13.74
01081,"Lee County, Alabama",177663,61123,32119,170219,18.87
01083,"Limestone County, Alabama",107577,83534,10561,104127,10.14
01085,"Lowndes County, Alabama",10008,35160,2913,9844,29.59
01087,"Macon County, Alabama",18951,45951,3611,16344,22.09
01089,"Madison County, Alabama",397135,83528,40401,385414,10.48
01091,"Marengo County, Alabama",19027,44205,4241,18794,22.57
01093,"Marion County, Alabama",29190,50714,4809,28544,16.85
01095,"Marshall County, Alabama",98712,60946,15841,97268,16.29
01097,"Mobile County, Alabama",413162,58119,65948,405368,16.27
01099,"Monroe County, Alabama",19580,40225,4371,19335,22.61
01101,"Montgomery County, Alabama",227197,58153,41981,217651,19.29
01103,"Morgan County, Alabama",123742,64858,16441,121233,13.56
01105,"Perry County, Alabama",8231,34368,2296,7350,31.24
01107,"Pickens County, Alabama",18843,47014,3878,17181,22.57
01109,"Pike County, Alabama",32953,47961,7130,30467,23.4
01111,"Randolph County, Alabama",22310,51551,3983,21670,18.38
01113,"Russell County, Alabama",58858,50046,12966,58278,22.25
01115,"St. Clair County, Alabama",92903,78993,10129,90658,11.17
01117,"Shelby County, Alabama",226955,93543,15442,223062,6.92
01119,"Sumter County, Alabama",12020,37981,2801,9963,28.11
01121,"Talladega County, Alabama",81170,56249,13665,77408,17.65
01123,"Tallapoosa County, Alabama",41070,57185,6128,40302,15.21
01125,"Tuscaloosa County, Alabama",234036,63947,36620,219924,16.65
01127,"Walker County, Alabama",64886,54509,11429,63567,17.98
01129,"Washington County, Alabama",15270,60503,2793,15141,18.45
01131,"Wilcox County, Alabama",10347,42236,2943,10137,29.03
01133,"Winston County, Alabama",23637,48032,4506,23151,19.46
02013,"Aleutians East Borough, Alaska",3423,72692,423,3402,12.43
02016,"Aleutians West Census Area, Alaska",5178,107344,459,4970,9.24
02020,"Anchorage Municipality, Alaska",289069,98152,26226,282916,9.27
02050,"Bethel Census Area, Alaska",18487,70616,4351,18105,24.03
02060,"Bristol Bay Borough, Alaska",878,100625,83,858,9.67
02063,"Chugach Census Area, Alaska",6964,88565,326,6784,4.81
02066,"Copper River Census Area, Alaska",2626,75053,295,2593,11.38
02068,"Denali Borough, Alaska",2029,88935,131,1994,6.57
02070,"Dillingham Census Area, Alaska",4780,74250,774,4740,16.33
02090,"Fairbanks North Star Borough, Alaska",95555,84722,5669,91890,6.17
02100,"Haines Borough, Alaska",2077,72607,126,2068,6.09
02105,"Hoonah-Angoon Census Area, Alaska",2313,62500,291,2313,12.58
02110,"Juneau City and Borough, Alaska",31969,100513,2565,31336,8.19
02122,"Kenai Peninsula Borough, Alaska",59843,77722,6790,58456,11.62
02130,"Ketchikan Gateway Borough, Alaska",13870,89155,1300,13697,9.49
02150,"Kodiak Island Borough, Alaska",12878,83716,966,12543,7.7
02158,"Kusilvak Census Area, Alaska",8277,48233,2555,8185,31.22
02164,"Lake and Peninsula Borough, Alaska",1007,64000,152,998,15.23
02170,"Matanuska-Susitna Borough, Alaska",110677,90625,11111,107815,10.31
02180,"Nome Census Area, Alaska",9925,76643,2026,9587,21.13
02185,"North Slope Borough, Alaska",10891,86313,897,10744,8.35
02188,"Northwest Arctic Borough, Alaska",7611,81298,1384,7519,18.41
02195,"Petersburg Borough, Alaska",3394,77026,188,3301,5.7
02198,"Prince of Wales-Hyder Census Area, Alaska",5730,59079,858,5690,15.08
02220,"Sitka City and Borough, Alaska",8393,101207,688,8209,8.38
02230,"Skagway Municipality, Alaska",1308,78594,81,1308,6.19
02240,"Southeast Fairbanks Census Area, Alaska",6936,74223,911,6867,13.27
02275,"Wrangell City and Borough, Alaska",2106,64545,227,2084,10.89
02282,"Yakutat City and Borough, Alaska",506,80625,39,501,7.78
02290,"Yukon-Koyukuk Census Area, Alaska",5271,52642,1086,5230,20.76
04001,"Apache County, Arizona",65680,40338,20070,64278,31.22
04003,"Cochise County, Arizona",125458,58970,18544,119342,15.54
04005,"Coconino County, Arizona",144643,69748,23485,132808,17.68
04007,"Gila County, Arizona",53610,59089,9297,52303,17.78
04009,"Graham County, Arizona",38860,67326,6319,35747,17.68
04011,"Greenlee County, Arizona",9452,75239,1016,9412,10.79
04012,"La Paz County, Arizona",16605,49506,3001,16270,18.44
04013,"Maricopa County, Arizona",4491987,85518,497877,4425433,11.25
04015,"Mohave County, Arizona",217420,55799,35787,212617,16.83
04017,"Navajo County, Arizona",107744,52752,25979,105125,24.71
04019,"Pima County, Arizona",1049947,67929,146560,1021158,14.35
04021,"Pinal County, Arizona",449219,77588,46664,429221,10.87
04023,"Santa Cruz County, Arizona",48209,53614,9707,48023,20.21
04025,"Yavapai County, Arizona",241656,66106,29898,237390,12.59
04027,"Yuma County, Arizona",207685,60417,32921,200032,16.46
05001,"Arkansas County, Arkansas",16773,60831,2425,16479,14.72
05003,"Ashley County, Arkansas",18722,44481,4215,18555,22.72
05005,"Baxter County, Arkansas",42150,48427,6029,41701,14.46
05007,"Benton County, Arkansas",294541,89879,22138,290871,7.61
05009,"Boone County, Arkansas",37896,54195,5018,37329,13.44
05011,"Bradley County, Arkansas",10354,39565,2057,10255,20.06
05013,"Calhoun County, Arkansas",4717,63654,601,4520,13.3
05015,"Carroll County, Arkansas",28526,55187,4586,28199,16.26
05017,"Chicot County, Arkansas",9997,39683,2264,9286,24.38
05019,"Clark County, Arkansas",21378,50985,3810,18868,20.19
05021,"Clay County, Arkansas",14399,48500,2449,14218,17.22
05023,"Cleburne County, Arkansas",25048,55979,3415,24663,13.85
05025,"Cleveland County, Arkansas",7491,50509,1153,7407,15.57
05027,"Columbia County, Arkansas",22527,47363,4642,20458,22.69
05029,"Conway County, Arkansas",20872,51212,4261,20694,20.59
05031,"Craighead County, Arkansas",112097,57615,20670,108405,19.07
05033,"Crawford County, Arkansas",60792,60362,9998,59559,16.79
05035,"Crittenden County, Arkansas",47609,54271,9684,46760,20.71
05037,"Cross County, Arkansas",16681,47012,3314,16496,20.09
05039,"Dallas County, Arkansas",6351,44694,675,6043,11.17
05041,"Desha County, Arkansas",11041,36064,3164,10941,28.92
05043,"Drew County, Arkansas",17143,41071,3720,16356,22.74
05045,"Faulkner County, Arkansas",126001,65071,18099,120454,15.03
05047,"Franklin County, Arkansas",17220,51919,3197,16949,18.86
05049,"Fulton County, Arkansas",12239,38941,1782,12078,14.75
05051,"Garland County, Arkansas",100062,55409,16237,98558,16.47
05053,"Grant County, Arkansas",18111,72512,2205,17896,12.32
05055,"Greene County, Arkansas",46182,56793,7657,44944,17.04
05057,"Hempstead County, Arkansas",19778,47654,3702,19495,18.99
05059,"Hot Spring County, Arkansas",33142,52644,5264,30848,17.06
05061,"Howard County, Arkansas",12701,44492,2477,12520,19.78
05063,"Independence County, Arkansas",38120,56009,7287,37113,19.63
05065,"Izard County, Arkansas",13866,47728,2692,12770,21.08
05067,"Jackson County, Arkansas",16775,41215,3044,14360,21.2
05069,"Jefferson County, Arkansas",65780,48552,12300,59742,20.59
05071,"Johnson County, Arkansas",25932,44808,4874,25187,19.35
05073,"Lafayette County, Arkansas",6211,37237,1658,6092,27.22
05075,"Lawrence County, Arkansas",16265,44164,2854,15681,18.2
05077,"Lee County, Arkansas",8511,36860,1926,6953,27.7
05079,"Lincoln County, Arkansas",12966,51667,1512,8550,17.68
05081,"Little River County, Arkansas",11959,52241,1927,11708,16.46
05083,"Logan County, Arkansas",21240,54237,3009,20880,14.41
05085,"Lonoke County, Arkansas",74747,71449,8232,73846,11.15
05087,"Madison County, Arkansas",17032,53888,2529,16850,15.01
05089,"Marion County, Arkansas",17076,46953,3008,16864,17.84
05091,"Miller County, Arkansas",42588,49983,8694,41304,21.05
05093,"Mississippi County, Arkansas",39749,53428,8150,38746,21.03
05095,"Monroe County, Arkansas",6681,43955,1452,6548,22.17
05097,"Montgomery County, Arkansas",8571,49015,1762,8452,20.85
05099,"Nevada County, Arkansas",8228,41761,2298,8054,28.53
05101,"Newton County, Arkansas",7175,47395,945,7097,13.32
05103,"Ouachita County, Arkansas",22317,49838,3913,21886,17.88
05105,"Perry County, Arkansas",10073,60078,1558,9964,15.64
05107,"Phillips County, Arkansas",15910,38874,4534,15782,28.73
05109,"Pike County, Arkansas",10182,51000,1871,9932,18.84
05111,"Poinsett County, Arkansas",22740,47188,4466,22259,20.06
05113,"Polk County, Arkansas",19348,49252,3611,19040,18.97
05115,"Pope County, Arkansas",63830,54606,10633,60583,17.55
05117,"Prairie County, Arkansas",8162,51094,739,7890,9.37
05119,"Pulaski County, Arkansas",398949,60385,63472,391326,16.22
05121,"Randolph County, Arkansas",18733,52838,3879,18357,21.13
05123,"St. Francis County, Arkansas",22740,41784,5503,19768,27.84
05125,"Saline County, Arkansas",125724,76534,11244,124191,9.05
05127,"Scott County, Arkansas",9839,45955,1678,9748,17.21
05129,"Searcy County, Arkansas",7861,41978,1896,7736,24.51
05131,"Sebastian County, Arkansas",128448,56450,20559,126382,16.27
05133,"Sevier County, Arkansas",15797,51641,3049,15533,19.63
05135,"Sharp County, Arkansas",17597,42950,2997,17277,17.35
05137,"Stone County, Arkansas",12474,38531,2665,12359,21.56
05139,"Union County, Arkansas",38368,50221,7327,37758,19.41
05141,"Van Buren County, Arkansas",15936,47266,3069,15742,19.5
05143,"Washington County, Arkansas",251863,66426,35887,242703,14.79
05145,"White County, Arkansas",77395,53435,12190,74202,16.43
05147,"Woodruff County, Arkansas",6157,49982,1361,5976,22.77
05149,"Yell County, Arkansas",20195,58870,2621,19746,13.27
06001,"Alameda County, California",1651949,126240,149752,1624096,9.22
06003,"Alpine County, California",1695,110781,209,1695,12.33
06005,"Amador County, California",41029,81526,2931,37799,7.75
06007,"Butte County, California",209470,68574,37531,204601,18.34
06009,"Calaveras County, California",45995,79877,6083,45528,13.36
06011,"Colusa County, California",21895,75149,2332,21588,10.8
06013,"Contra Costa County, California",1161458,125727,95048,1151878,8.25
06015,"Del Norte County, California",27293,66780,2900,24952,11.62
06017,"El Dorado County, California",192299,106190,15754,190642,8.26
06019,"Fresno County, California",1012152,71434,185717,994567,18.67
06021,"Glenn County, California",28623,70487,3511,28414,12.36
06023,"Humboldt County, California",135418,61135,25064,132564,18.91
06025,"Imperial County, California",179319,56393,33705,171599,19.64
06027,"Inyo County, California",18803,72432,1928,18392,10.48
06029,"Kern County, California",910433,67660,168825,886335,19.05
06031,"Kings County, California",152830,68750,23427,139672,16.77
06033,"Lake County, California",68139,58738,11156,66900,16.68
06035,"Lassen County, California",31177,64395,3279,23977,13.68
06037,"Los Angeles County, California",9848406,87760,1322476,9693427,13.64
06039,"Madera County, California",158790,75496,30187,151968,19.86
06041,"Marin County, California",258765,142785,19907,254311,7.83
06043,"Mariposa County, California",17060,65378,2347,16893,13.89
06045,"Mendocino County, California",90709,64688,13524,89200,15.16
06047,"Merced County, California",285597,65044,51655,280675,18.4
06049,"Modoc County, California",8646,56648,1717,8468,20.28
06051,"Mono County, California",13169,86953,1441,13056,11.04
06053,"Monterey County, California",435834,94486,52732,419124,12.58
06055,"Napa County, California",136070,108970,11238,133332,8.43
06057,"Nevada County, California",102452,84905,10745,101450,10.59
06059,"Orange County, California",3164063,113702,296493,3125637,9.49
06061,"Placer County, California",412435,114678,27419,408930,6.71
06063,"Plumas County, California",19607,64946,2075,19338,10.73
06065,"Riverside County, California",2449909,89672,266955,2413439,11.06
06067,"Sacramento County, California",1584047,88724,197472,1565333,12.62
06069,"San Benito County, California",66056,108289,5118,65660,7.79
06071,"San Bernardino County, California",2187816,82184,291226,2145516,13.57
06073,"San Diego County, California",3282782,102285,330602,3193390,10.35
06075,"San Francisco County, California",836321,141446,87135,823358,10.58
06077,"San Joaquin County, California",787416,88531,97063,773079,12.56
06079,"San Luis Obispo County, California",281486,93398,34424,267954,12.85
06081,"San Mateo County, California",745100,156000,47945,738600,6.49
06083,"Santa Barbara County, California",443975,95977,58387,423928,13.77
06085,"Santa Clara County, California",1903297,159674,128470,1871483,6.86
06087,"Santa Cruz County, California",266021,109266,28613,255068,11.22
06089,"Shasta County, California",181554,71931,23179,178633,12.98
06091,"Sierra County, California",2731,60000,325,2633,12.34
06093,"Siskiyou County, California",43834,55499,7196,43419,16.57
06095,"Solano County, California",450824,99994,42767,441245,9.69
06097,"Sonoma County, California",485642,102840,41044,478869,8.57
06099,"Stanislaus County, California",552250,79661,71943,547160,13.15
06101,"Sutter County, California",98971,75450,14494,98110,14.77
06103,"Tehama County, California",65520,61834,9988,64776,15.42
06105,"Trinity County, California",15886,53498,2830,15721,18.0
06107,"Tulare County, California",475774,69489,83473,470078,17.76
06109,"Tuolumne County, California",54873,72259,5547,51746,10.72
06111,"Ventura County, California",838259,107327,74630,827580,9.02
06113,"Yolo County, California",217782,88818,34165,210055,16.26
06115,"Yuba County, California",83079,73313,12501,81611,15.32
08001,"Adams County, Colorado",524408,91387,48994,520338,9.42
08003,"Alamosa County, Colorado",16515,51445,2843,15598,18.23
08005,"Arapahoe County, Colorado",655709,97215,55261,649885,8.5
08007,"Archuleta County, Colorado",13730,76524,1134,13606,8.33
08009,"Baca County, Colorado",3460,40380,810,3364,24.08
08011,"Bent County, Colorado",5524,49194,1348,4252,31.7
08013,"Boulder County, Colorado",328317,102772,36145,315677,11.45
08014,"Broomfield County, Colorado",75110,121025,3695,74640,4.95
08015,"Chaffee County, Colorado",19876,70909,1844,18500,9.97
08017,"Cheyenne County, Colorado",1732,67768,193,1691,11.41
08019,"Clear Creek County, Colorado",9358,96667,631,9282,6.8
08021,"Conejos County, Colorado",7536,47209,1032,7490,13.78
08023,"Costilla County, Colorado",3571,36519,793,3551,22.33
08025,"Crowley County, Colorado",5734,47563,762,4177,18.24
08027,"Custer County, Colorado",5073,72700,490,5064,9.68
08029,"Delta County, Colorado",31353,58330,4310,30340,14.21
08031,"Denver County, Colorado",713734,91681,78668,701727,11.21
08033,"Dolores County, Colorado",2385,70490,448,2385,18.78
08035,"Douglas County, Colorado",368283,145737,11841,366926,3.23
08037,"Eagle County, Colorado",55374,103174,4553,55036,8.27
08039,"Elbert County, Colorado",27152,129477,1444,27095,5.33
08041,"El Paso County, Colorado",736008,87470,60977,714594,8.53
08043,"Fremont County, Colorado",49394,61027,5800,41502,13.98
08045,"Garfield County, Colorado",62034,86172,5539,61058,9.07
08047,"Gilpin County, Colorado",5877,88654,580,5809,9.98
08049,"Grand County, Colorado",15794,84558,1420,15760,9.01
08051,"Gunnison County, Colorado",17158,77358,2115,16166,13.08
08053,"Hinsdale County, Colorado",939,64327,42,939,4.47
08055,"Huerfano County, Colorado",6946,52139,1193,6813,17.51
08057,"Jackson County, Colorado",1422,41809,258,1416,18.22
08059,"Jefferson County, Colorado",579715,107800,38319,571679,6.7
08061,"Kiowa County, Colorado",1356,56389,170,1329,12.79
08063,"Kit Carson County, Colorado",7015,59810,633,6922,9.14
08065,"Lake County, Colorado",7411,93655,525,7276,7.22
08067,"La Plata County, Colorado",56088,85296,6755,54260,12.45
08069,"Larimer County, Colorado",363561,91364,39240,353725,11.09
08071,"Las Animas County, Colorado",14392,50408,2378,13672,17.39
08073,"Lincoln County, Colorado",5561,54257,447,4325,10.34
08075,"Logan County, Colorado",21067,55074,2506,19152,13.08
08077,"Mesa County, Colorado",157316,71485,17123,153296,11.17
08079,"Mineral County, Colorado",799,52455,104,799,13.02
08081,"Moffat County, Colorado",13258,70975,1533,13154,11.65
08083,"Montezuma County, Colorado",26204,63005,3414,25865,13.2
08085,"Montrose County, Colorado",43272,66072,5101,42825,11.91
08087,"Morgan County, Colorado",29186,75407,3515,28641,12.27
08089,"Otero County, Colorado",18460,54897,4249,18004,23.6
08091,"Ouray County, Colorado",5024,84556,253,5018,5.04
08093,"Park County, Colorado",17739,95450,1266,17593,7.2
08095,"Phillips County, Colorado",4491,60372,695,4414,15.75
08097,"Pitkin County, Colorado",17119,100318,1221,17066,7.15
08099,"Prowers County, Colorado",11931,57601,1994,11613,17.17
08101,"Pueblo County, Colorado",168726,62250,25321,164201,15.42
08103,"Rio Blanco County, Colorado",6518,72620,559,6223,8.98
08105,"Rio Grande County, Colorado",11394,62166,1662,11146,14.91
08107,"Routt County, Colorado",24990,104803,1580,24672,6.4
08109,"Saguache County, Colorado",6511,54283,1142,6481,17.62
08111,"San Juan County, Colorado",690,73889,116,690,16.81
08113,"San Miguel County, Colorado",8026,80117,674,8010,8.41
08115,"Sedgwick County, Colorado",2346,52833,336,2316,14.51
08117,"Summit County, Colorado",30857,106255,2277,30670,7.42
08119,"Teller County, Colorado",24774,80666,1871,24659,7.59
08121,"Washington County, Colorado",4839,65164,353,4645,7.6
08123,"Weld County, Colorado",340711,93287,30256,334453,9.05
08125,"Yuma County, Colorado",9921,60051,1437,9589,14.99
09110,"Capitol Planning Region, Connecticut",969029,91541,96546,939085,10.28
09120,"Greater Bridgeport Planning Region, Connecticut",326296,87135,42096,318192,13.23
09130,"Lower Connecticut River Valley Planning Region, Connecticut",174983,101117,11625,169707,6.85
09140,"Naugatuck Valley Planning Region, Connecticut",452303,86365,46175,446387,10.34
09150,"Northeastern Connecticut Planning Region, Connecticut",95829,87564,8137,94748,8.59
09160,"Northwest Hills Planning Region, Connecticut",112848,91035,10224,111434,9.17
09170,"South Central Connecticut Planning Region, Connecticut",566803,86266,63456,547777,11.58
09180,"Southeastern Connecticut Planning Region, Connecticut",279025,84185,28317,268371,10.55
09190,"Western Connecticut Planning Region, Connecticut",621232,124553,45372,614492,7.38
10001,"Kent County, Delaware",185043,72872,20323,180040,11.29
10003,"New Castle County, Delaware",573030,89901,56807,556738,10.2
10005,"Sussex County, Delaware",247799,78162,28116,244486,11.5
11001,"District of Columbia, District of Columbia",672079,106287,94140,647874,14.53
12001,"Alachua County, Florida",281751,59659,52015,264520,19.66
12003,"Baker County, Florida",28186,70833,3285,25161,13.06
12005,"Bay County, Florida",181368,70188,20821,178417,11.67
12007,"Bradford County, Florida",27888,59740,4550,23884,19.05
12009,"Brevard County, Florida",620533,75817,60603,612448,9.9
12011,"Broward County, Florida",1946127,74534,235824,1927838,12.23
12013,"Calhoun County, Florida",13593,46901,2506,11801,21.24
12015,"Charlotte County, Florida",195083,66154,18219,190668,9.56
12017,"Citrus County, Florida",158693,55355,24124,155678,15.5
12019,"Clay County, Florida",223436,86094,20204,221079,9.14
12021,"Collier County, Florida",387681,86173,40135,383948,10.45
12023,"Columbia County, Florida",70755,55070,11237,66013,17.02
12027,"DeSoto County, Florida",34719,50868,7626,33041,23.08
12029,"Dixie County, Florida",16952,47655,2961,15349,19.29
12031,"Duval County, Florida",1007189,68447,143754,983310,14.62
12033,"Escambia County, Florida",323275,65715,44136,304592,14.49
12035,"Flagler County, Florida",121710,72923,11360,120593,9.42
12037,"Franklin County, Florida",12418,62734,1874,10825,17.31
12039,"Gadsden County, Florida",43642,46047,11243,40646,27.66
12041,"Gilchrist County, Florida",18494,61070,1946,17444,11.16
12043,"Glades County, Florida",12324,38905,2341,11068,21.15
12045,"Gulf County, Florida",14772,67361,1412,12168,11.6
12047,"Hamilton County, Florida",13445,47696,2933,10724,27.35
12049,"Hardee County, Florida",25508,54231,5727,23615,24.25
12051,"Hendry County, Florida",40798,53044,8630,39966,21.59
12053,"Hernando County, Florida",201512,63193,23818,198366,12.01
12055,"Highlands County, Florida",103808,55581,15723,102146,15.39
12057,"Hillsborough County, Florida",1489634,75011,193025,1462859,13.2
12059,"Holmes County, Florida",19626,48236,2565,17820,14.39
12061,"Indian River County, Florida",163856,71049,18567,162278,11.44
12063,"Jackson County, Florida",47652,47327,7647,40627,18.82
12065,"Jefferson County, Florida",14713,56984,2740,13486,20.32
12067,"Lafayette County, Florida",8035,60692,1174,6601,17.79
12069,"Lake County, Florida",398696,69956,37240,393752,9.46
12071,"Lee County, Florida",792692,73099,91539,780517,11.73
12073,"Leon County, Florida",295335,65074,51451,277659,18.53
12075,"Levy County, Florida",44276,53805,7539,43932,17.16
12077,"Liberty County, Florida",7650,53824,1290,6199,20.81
12079,"Madison County, Florida",18113,48176,3413,16302,20.94
12081,"Manatee County, Florida",416020,75792,42741,410945,10.4
12083,"Marion County, Florida",387697,58535,55184,378555,14.58
12085,"Martin County, Florida",160464,80701,17817,156901,11.36
12086,"Miami-Dade County, Florida",2685296,68694,394945,2644927,14.93
12087,"Monroe County, Florida",81840,82430,8412,80849,10.4
12089,"Nassau County, Florida",94653,88900,8659,93741,9.24
12091,"Okaloosa County, Florida",214281,79097,19364,208586,9.28
12093,"Okeechobee County, Florida",40249,52288,7127,37436,19.04
12095,"Orange County, Florida",1440471,77011,182784,1401137,13.05
12097,"Osceola County, Florida",406943,68711,50246,403446,12.45
12099,"Palm Beach County, Florida",1507453,81115,164211,1481929,11.08
12101,"Pasco County, Florida",588758,67384,64423,580567,11.1
12103,"Pinellas County, Florida",960565,70293,107618,940612,11.44
12105,"Polk County, Florida",760961,63644,109496,744172,14.71
12107,"Putnam County, Florida",74235,47256,17409,72925,23.87
12109,"St. Johns County, Florida",292243,106169,19379,288913,6.71
12111,"St. Lucie County, Florida",346237,69027,39878,342483,11.64
12113,"Santa Rosa County, Florida",193719,88968,15911,188472,8.44
12115,"Sarasota County, Florida",449011,80633,36101,440606,8.19
12117,"Seminole County, Florida",474912,83030,43264,469868,9.21
12119,"Sumter County, Florida",137536,73297,11723,129329,9.06
12121,"Suwannee County, Florida",44484,55479,5998,42383,14.15
12123,"Taylor County, Florida",21422,44985,3225,18627,17.31
12125,"Union County, Florida",15551,64922,1995,10695,18.65
12127,"Volusia County, Florida",568229,66581,67642,552500,12.24
12129,"Wakulla County, Florida",34608,74183,1758,31471,5.59
12131,"Walton County, Florida",79846,79281,8912,77981,11.43
12133,"Washington County, Florida",25259,52723,4279,22582,18.95
13001,"Appling County, Georgia",18426,43728,4310,18098,23.81
13003,"Atkinson County, Georgia",8261,38438,2062,8234,25.04
13005,"Bacon County, Georgia",11129,50310,2223,10629,20.91
13007,"Baker County, Georgia",2830,44405,832,2830,29.4
13009,"Baldwin County, Georgia",43669,55413,8518,38733,21.99
13011,"Banks County, Georgia",18757,68830,2396,18666,12.84
13013,"Barrow County, Georgia",86982,77477,8797,86319,10.19
13015,"Bartow County, Georgia",111153,79431,11092,110009,10.08
13017,"Ben Hill County, Georgia",17138,39081,4308,16742,25.73
13019,"Berrien County, Georgia",18257,50414,3979,18029,22.07
13021,"Bibb County, Georgia",156543,50747,37337,150343,24.83
13023,"Bleckley County, Georgia",12414,53005,2289,11142,20.54
13025,"Brantley County, Georgia",18171,47801,3054,18043,16.93
13027,"Brooks County, Georgia",16285,47656,4056,15992,25.36
13029,"Bryan County, Georgia",46681,94234,3357,46400,7.23
13031,"Bulloch County, Georgia",81372,56832,16801,74599,22.52
13033,"Burke County, Georgia",24427,50739,4611,24057,19.17
13035,"Butts County, Georgia",26074,59221,3032,23524,12.89
13037,"Calhoun County, Georgia",5528,55714,866,3813,22.71
13039,"Camden County, Georgia",56036,72399,8095,53820,15.04
13043,"Candler County, Georgia",10972,50431,1870,10675,17.52
