fips,diabetes,inactivity,mental_health,obesity,smoking
00059,11.15,24.1,15.95,32.85,11.5
01001,12.35,26.5,17.5,39.65,14.5
01003,11.9,24.55,15.95,35.1,13.15
01005,18.05,35.35,19.2,46.95,20.5
01007,15.05,32.6,19.4,43.8,19.8
01009,12.55,28.4,18.2,36.05,16.75
01011,22.95,43.45,20.7,51.15,24.8
01013,17.05,36.1,19.25,40.55,18.65
01015,13.85,31.45,18.85,38.85,16.65
01017,16.2,33.4,19.15,41.55,17.95
01019,13.9,30.1,18.6,39.4,17.8
01021,13.05,30.55,18.75,39.9,17.0
01023,17.55,34.95,19.05,44.45,18.65
01025,16.65,33.45,18.85,44.05,18.0
01027,14.7,31.6,19.0,42.45,18.45
01029,13.15,29.6,18.9,37.25,17.9
01031,13.75,29.35,18.2,40.9,16.65
01033,13.55,27.75,18.1,37.45,16.4
01035,19.45,38.0,19.55,46.6,21.0
01037,16.05,32.05,18.2,41.75,18.05
01039,14.55,30.8,19.0,38.0,17.95
01041,15.0,31.75,18.8,40.4,18.3
01043,12.2,26.6,18.25,36.3,16.75
01045,14.75,31.15,19.05,41.4,17.75
01047,20.25,37.05,19.35,46.4,19.8
01049,14.5,33.2,19.5,38.6,19.75
01051,12.2,25.8,17.95,38.8,15.1
01053,17.05,34.9,20.25,43.9,21.4
01055,14.85,32.5,18.85,43.7,17.95
01057,14.85,31.65,19.2,40.6,19.05
01059,15.15,33.3,19.2,42.2,19.35
01061,14.7,31.05,19.2,42.25,19.6
01063,24.1,43.35,20.25,53.05,23.05
01065,18.0,35.2,19.2,47.7,19.2
01067,14.75,30.25,18.05,41.25,16.85
01069,14.4,28.35,18.85,40.5,16.15
01071,14.35,31.55,19.4,39.2,19.2
01073,14.3,27.7,17.15,37.5,13.9
01075,14.8,31.15,19.35,40.8,19.15
01077,11.95,26.25,18.05,36.15,14.8
01079,14.0,30.25,19.05,39.35,18.65
01081,12.6,25.35,17.45,39.15,13.35
01083,11.7,24.95,16.75,39.3,14.1
01085,21.75,40.35,20.05,51.25,21.9
01087,18.85,35.0,19.25,47.9,16.75
01089,11.5,22.45,15.75,40.0,11.9
01091,17.95,33.65,18.65,43.15,17.75
01093,13.9,31.15,19.15,42.45,18.85
01095,13.45,30.25,18.3,37.6,16.7
01097,15.1,30.2,17.65,39.0,15.55
01099,17.65,35.75,19.6,43.85,20.05
01101,15.6,30.25,17.35,46.2,14.6
01103,13.5,29.2,17.4,38.55,16.2
01105,22.55,41.2,20.75,53.45,22.6
01107,16.6,34.1,18.85,48.0,18.85
01109,14.35,28.65,19.35,41.8,16.05
01111,14.4,29.1,18.5,37.9,17.25
01113,16.3,32.75,19.2,42.85,18.1
01115,11.95,26.95,18.0,39.4,15.2
01117,10.4,20.3,15.0,31.65,10.55
01119,18.95,35.65,19.7,48.6,17.55
01121,15.7,31.85,18.4,45.5,17.85
