fips,hpsa_score,hpsa_score_norm,shortage_flag
01001,13.0,0.52,0
01003,13.67,0.55,0
01005,11.82,0.47,0
01007,17.0,0.68,1
01009,11.0,0.44,0
01011,17.67,0.71,1
01013,16.0,0.64,1
01015,5.6,0.22,0
01017,17.0,0.68,1
01019,12.22,0.49,0
01021,12.0,0.48,0
01023,8.4,0.34,0
01025,7.5,0.3,0
01027,11.75,0.47,0
01029,14.0,0.56,0
01031,6.5,0.26,0
01033,14.33,0.57,0
01035,13.0,0.52,0
01037,14.0,0.56,0
01039,5.56,0.22,0
01041,11.0,0.44,0
01043,14.5,0.58,0
01045,11.0,0.44,0
01047,12.4,0.5,0
01049,2.89,0.12,0
01051,14.17,0.57,0
01053,8.18,0.33,0
01055,1.0,0.04,0
01057,9.5,0.38,0
01059,5.0,0.2,0
01061,13.0,0.52,0
01063,21.0,0.84,1
01065,20.67,0.83,1
01067,7.67,0.31,0
01069,6.0,0.24,0
01071,4.38,0.18,0
01073,10.43,0.42,0
01075,15.5,0.62,1
01077,3.17,0.13,0
01079,14.5,0.58,0
01081,16.0,0.64,1
01083,7.33,0.29,0
01085,3.2,0.13,0
01087,17.38,0.7,1
01089,14.85,0.59,0
01091,2.43,0.1,0
01093,15.0,0.6,1
01095,4.44,0.18,0
01097,1.64,0.07,0
01099,6.25,0.25,0
01101,15.08,0.6,1
01103,8.0,0.32,0
01105,18.0,0.72,1
01107,20.0,0.8,1
01109,12.67,0.51,0
01111,11.83,0.47,0
01113,9.25,0.37,0
01115,8.6,0.34,0
01117,0.0,0.0,0
01119,8.86,0.35,0
01121,11.78,0.47,0
01123,14.61,0.58,0
01125,8.86,0.35,0
01127,16.67,0.67,1
01129,16.0,0.64,1
01131,10.7,0.43,0
01133,12.33,0.49,0
02013,9.38,0.38,0
02016,8.0,0.32,0
02020,3.89,0.16,0
02050,16.91,0.68,1
02060,5.5,0.22,0
02063,7.88,0.32,0
02066,9.17,0.37,0
02068,10.25,0.41,0
02070,7.36,0.29,0
02090,9.67,0.39,0
02100,4.44,0.18,0
02105,9.0,0.36,0
02110,6.38,0.26,0
02122,7.5,0.3,0
02130,15.71,0.63,1
02150,5.8,0.23,0
02158,18.56,0.74,1
02164,9.56,0.38,0
02170,9.05,0.36,0
02180,13.88,0.56,0
02185,16.5,0.66,1
02188,16.24,0.65,1
02195,8.5,0.34,0
02198,10.53,0.42,0
02220,5.88,0.24,0
02230,10.0,0.4,0
02240,12.33,0.49,0
02261,5.8,0.23,0
02275,9.14,0.37,0
02282,7.0,0.28,0
